iter	Passed	Remaining
0	139	138925
1	140	70312
2	142	47382
3	143	35818
4	144	28832
5	145	24159
6	146	20815
7	147	18344
8	149	16435
9	150	14895
10	151	13619
11	152	12553
12	153	11648
13	154	10885
14	155	10219
15	156	9635
16	157	9115
17	158	8650
18	159	8236
19	160	7861
20	162	7553
21	163	7262
22	164	6993
23	165	6740
24	166	6503
25	167	6291
26	169	6099
27	170	5916
28	171	5742
29	172	5577
30	173	5421
31	174	5279
32	175	5150
33	177	5032
34	178	4917
35	179	4808
36	180	4702
37	181	4603
38	182	4508
39	184	4429
40	185	4346
41	186	4262
42	189	4228
43	191	4153
44	192	4084
45	193	4015
46	194	3948
47	197	3911
48	198	3859
49	200	3801
50	201	3743
51	204	3722
52	205	3672
53	206	3621
54	207	3572
55	209	3530
56	210	3484
57	211	3436
58	212	3392
59	213	3346
60	214	3303
61	215	3261
62	218	3243
63	219	3205
64	220	3169
65	221	3139
66	223	3105
67	224	3072
68	225	3039
69	226	3005
70	227	2973
71	228	2943
72	229	2914
73	231	2893
74	232	2865
75	233	2837
76	234	2808
77	235	2781
78	236	2754
79	237	2728
80	238	2702
81	239	2677
82	239	2647
83	240	2623
84	241	2599
85	242	2576
86	243	2554
87	244	2531
88	245	2513
89	246	2492
90	247	2472
91	248	2452
92	249	2432
93	250	2413
94	251	2394
95	252	2376
96	253	2357
97	254	2338
98	255	2320
99	255	2303
100	256	2286
101	257	2270
102	258	2253
103	259	2238
104	260	2222
105	261	2207
106	262	2192
107	263	2176
108	264	2162
109	265	2147
110	266	2133
111	267	2118
112	268	2104
113	269	2091
114	270	2077
115	270	2064
116	271	2050
117	272	2038
118	273	2027
119	274	2015
120	275	2003
121	276	1991
122	277	1979
123	278	1968
124	279	1956
125	280	1945
126	281	1932
127	282	1921
128	283	1910
129	283	1900
130	284	1889
131	285	1879
132	286	1869
133	287	1859
134	288	1849
135	289	1840
136	290	1830
137	291	1821
138	292	1812
139	293	1802
140	294	1793
141	294	1782
142	295	1773
143	296	1764
144	297	1756
145	298	1747
146	299	1738
147	301	1732
148	302	1724
149	303	1717
150	303	1708
151	304	1700
152	305	1692
153	306	1684
154	307	1677
155	308	1669
156	309	1662
157	310	1654
158	311	1647
159	312	1640
160	313	1631
161	314	1624
162	315	1618
163	316	1611
164	316	1603
165	317	1597
166	318	1590
167	319	1583
168	320	1576
169	321	1569
170	322	1563
171	323	1556
172	324	1550
173	325	1543
174	326	1537
175	327	1530
176	328	1525
177	328	1519
178	329	1512
179	330	1506
180	331	1500
181	332	1494
182	333	1488
183	334	1482
184	335	1477
185	336	1471
186	337	1465
187	338	1459
188	338	1454
189	339	1448
190	340	1443
191	341	1438
192	342	1433
193	343	1428
194	344	1422
195	345	1417
196	346	1412
197	347	1407
198	348	1402
199	349	1396
200	350	1392
201	352	1391
202	353	1387
203	354	1382
204	355	1379
205	356	1375
206	358	1371
207	359	1368
208	360	1364
209	361	1360
210	362	1357
211	364	1353
212	365	1349
213	366	1346
214	367	1342
215	369	1342
216	371	1339
217	372	1335
218	373	1331
219	374	1328
220	375	1324
221	376	1320
222	377	1316
223	378	1311
224	379	1307
225	380	1303
226	381	1299
227	382	1296
228	383	1292
229	384	1288
230	385	1284
231	386	1280
232	387	1276
233	388	1271
234	389	1267
235	390	1263
236	391	1259
237	392	1255
238	393	1251
239	393	1247
240	394	1243
241	395	1239
242	396	1235
243	397	1232
244	398	1228
245	399	1224
246	400	1220
247	401	1216
248	402	1213
249	403	1209
250	404	1205
251	404	1202
252	405	1198
253	406	1195
254	407	1191
255	408	1187
256	409	1184
257	410	1181
258	411	1178
259	412	1175
260	413	1172
261	415	1169
262	416	1166
263	417	1164
264	418	1161
265	419	1158
266	421	1156
267	423	1156
268	424	1152
269	425	1150
270	426	1147
271	427	1144
272	428	1141
273	429	1138
274	430	1135
275	431	1132
276	432	1129
277	433	1127
278	435	1125
279	436	1122
280	437	1119
281	438	1117
282	439	1114
283	440	1111
284	442	1108
285	443	1106
286	443	1103
287	445	1100
288	446	1097
289	447	1095
290	448	1092
291	449	1090
292	450	1087
293	451	1085
294	452	1082
295	454	1080
296	455	1079
297	457	1076
298	458	1073
299	459	1071
300	460	1069
301	461	1067
302	463	1065
303	464	1062
304	465	1060
305	466	1058
306	468	1057
307	469	1055
308	470	1052
309	471	1050
310	474	1050
311	475	1048
312	476	1046
313	477	1043
314	478	1040
315	479	1038
316	481	1036
317	482	1034
318	483	1032
319	484	1030
320	486	1028
321	487	1025
322	488	1023
323	489	1021
324	490	1018
325	491	1016
326	492	1014
327	494	1012
328	495	1010
329	496	1008
330	497	1005
331	498	1003
332	499	1000
333	500	998
334	501	996
335	502	993
336	505	994
337	506	992
338	507	990
339	509	988
340	510	986
341	511	984
342	513	982
343	514	981
344	516	980
345	518	979
346	519	978
347	521	976
348	522	974
349	523	972
350	524	969
351	525	967
352	526	965
353	527	962
354	528	960
355	530	959
356	531	957
357	532	955
358	533	952
359	534	950
360	535	948
361	536	946
362	538	944
363	539	943
364	540	940
365	542	938
366	543	936
367	544	935
368	546	934
369	547	932
370	548	930
371	550	928
372	551	926
373	553	925
374	554	924
375	555	922
376	557	920
377	558	919
378	560	917
379	561	916
380	562	914
381	564	912
382	565	911
383	567	909
384	568	908
385	569	905
386	570	904
387	572	903
388	573	901
389	575	900
390	577	900
391	579	898
392	580	896
393	582	896
394	583	894
395	585	893
396	587	892
397	588	890
398	590	889
399	591	887
400	592	885
401	594	883
402	596	883
403	597	882
404	599	880
405	602	881
406	604	880
407	605	878
408	606	875
409	607	874
410	608	872
411	610	870
412	611	868
413	612	866
414	614	865
415	615	863
416	616	861
417	617	859
418	618	857
419	619	855
420	620	853
421	621	851
422	622	849
423	623	847
424	624	845
425	625	843
426	626	841
427	627	838
428	628	836
429	629	834
430	630	832
431	631	830
432	632	828
433	633	826
434	634	824
435	635	821
436	636	819
437	637	817
438	638	815
439	639	813
440	640	811
441	641	809
442	641	807
443	643	805
444	644	803
445	645	801
446	646	799
447	647	797
448	648	795
449	649	793
450	650	791
451	650	789
452	652	787
453	653	785
454	654	783
455	655	781
456	656	779
457	657	778
458	658	776
459	659	774
460	660	772
461	662	770
462	663	769
463	665	768
464	679	781
465	680	779
466	681	777
467	682	775
468	683	773
469	684	771
470	685	769
471	685	767
472	687	765
473	688	764
474	689	762
475	690	760
476	692	758
477	693	757
478	694	755
479	695	753
480	697	752
481	698	750
482	699	749
483	701	747
484	702	746
485	704	744
486	705	742
487	706	741
488	708	739
489	709	738
490	710	736
491	711	734
492	712	733
493	713	731
494	714	729
495	716	727
496	717	726
497	718	724
498	719	722
499	720	720
500	721	718
501	722	716
502	723	715
503	724	713
504	725	711
505	726	709
506	727	707
507	728	705
508	730	704
509	732	703
510	732	701
511	733	699
512	735	697
513	736	696
514	737	694
515	738	693
516	739	691
517	740	689
518	741	687
519	742	685
520	744	684
521	745	682
522	746	680
523	747	678
524	748	676
525	749	675
526	750	673
527	751	671
528	752	669
529	753	667
530	754	666
531	755	664
532	755	662
533	757	660
534	758	659
535	759	657
536	760	655
537	761	654
538	762	652
539	763	650
540	764	648
541	765	647
542	766	645
543	767	643
544	768	641
545	769	639
546	770	638
547	771	636
548	773	635
549	774	633
550	775	631
551	776	630
552	778	628
553	779	627
554	780	625
555	781	624
556	783	622
557	784	621
558	785	619
559	786	618
560	787	616
561	788	614
562	789	612
563	790	611
564	791	609
565	792	607
566	793	605
567	794	603
568	795	602
569	795	600
570	796	598
571	797	596
572	798	595
573	799	593
574	800	591
575	801	590
576	802	588
577	803	586
578	804	585
579	805	583
580	806	581
581	807	579
582	808	578
583	809	576
584	810	574
585	810	572
586	811	571
587	813	569
588	814	568
589	815	566
590	816	564
591	817	563
592	817	561
593	818	559
594	819	557
595	820	556
596	821	554
597	822	552
598	823	551
599	824	549
600	825	547
601	826	546
602	827	544
603	828	543
604	829	541
605	830	540
606	831	538
607	832	536
608	833	535
609	835	533
610	836	532
611	837	530
612	838	529
613	839	527
614	840	526
615	841	524
616	843	523
617	844	521
618	845	520
619	846	519
620	848	517
621	849	516
622	851	515
623	852	513
624	852	511
625	854	510
626	855	508
627	856	507
628	857	505
629	858	504
630	859	502
631	860	500
632	861	499
633	862	497
634	863	496
635	864	494
636	865	492
637	866	491
638	866	489
639	867	488
640	868	486
641	869	485
642	871	483
643	873	482
644	874	481
645	875	479
646	876	478
647	877	476
648	878	475
649	879	473
650	880	471
651	881	470
652	882	468
653	883	467
654	883	465
655	885	464
656	886	462
657	887	461
658	888	459
659	889	458
660	890	456
661	891	455
662	893	454
663	895	452
664	896	451
